data_base_index,genre,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
46809,dance and electronica,-4.828,125.975,4,9,1,327.44444,43.482844129600004,30.7904500675,-73.094585695,35.7096882591,0.29420242915,-0.714309716599,-19.3522968961,-20.0733663968,-4.28896423752,-5.4928488529,10.8305647773,19.6230445344,29.5838836984,2983.47042954,3958.96126502,3074.56446766,1308.21325693,2170.51278035,672.647894751,2313.93630336,460.345618307,523.065289228,818.731590865,379.04065829800004
43662,dance and electronica,-14.436,98.99,4,7,1,340.32281,36.5780027267,-46.823571915500004,-76.82197614180001,4.15629243354,48.572897750500005,-42.557656441700004,33.7639256987,-14.6318779823,4.32288070893,-0.711644853442,-2.84714451261,-18.1685862304,21.2462985944,8080.65702168,3442.19913404,3277.70793717,2766.16697023,1664.50628535,857.9100469589999,2339.78922808,1096.53672705,927.4152978760001,461.678505235,557.79163976
24627,punk,-12.924000000000001,95.905,4,1,1,22.38649,34.9721555556,86.92417777780001,-23.7774888889,-2.12491111111,-35.319011111100004,1.2645444444399998,-7.47062222222,20.1965222222,7.51842222222,14.433233333299999,-10.5006444444,-2.85617777778,195.971259487,1377.59282897,581.6924023390001,816.03650117,570.722274255,668.047232381,149.25592868,364.77079118300003,335.060828688,190.501331468,113.063678896,110.02351765700001
48931,metal,-14.189,126.355,1,2,0,174.15791000000002,39.8416416309,-28.791429184499997,3.1526394849799995,-12.305967811199999,-12.699536480699999,-4.33943347639,-26.9968390558,-9.89033261803,16.2719656652,-1.58794849785,1.2648798283299998,3.2810107296099997,17.5014976677,3510.84249143,1520.76679773,1730.12025273,1285.89898188,640.0208032630001,1086.84227341,591.820429441,780.183686462,291.3457361,244.26226262900002,357.58901935
48104,metal,-6.622999999999999,174.22400000000002,4,9,1,256.20853,48.10735138,86.02209872610001,-17.3603036093,-13.7875477707,-47.9692006369,-19.8247048832,1.8639904458599998,0.19972505307900001,4.98959978769,9.02479723992,-2.4865360934200003,4.31688428875,11.580332448699998,531.076368388,1182.37856098,632.938336982,486.870641267,437.182264125,595.8836694280001,271.193896397,242.16563988099998,183.52805953700002,163.880995748,142.790932124
45213,dance and electronica,-18.551,97.366,3,10,0,225.09669,32.186572679499996,-47.5337443082,-26.2329229422,-6.440970227669999,-10.5371436077,-4.38255166375,-5.80214711033,11.5358791594,-15.9337302977,-2.1362749562200003,10.349253940499999,15.639281961500002,53.1052066685,3628.54883277,3061.38910194,2385.15183289,1048.74395236,951.1154957639999,786.5751286230001,536.523637185,623.8112695240001,375.726065061,618.863252189,507.69671654900003
26117,punk,-8.029,95.64,4,7,1,111.67302,48.40676485149999,8.215886138610001,38.5844331683,-0.983061881188,-48.3446039604,-13.2667673267,20.4248341584,8.351168316830002,5.1159702970300005,-3.23706683168,-1.8729108910900003,4.14499752475,4.00584611055,817.0381995460001,753.5813635769999,395.573210202,646.561546234,399.634109045,338.515636227,197.11640173400002,167.06091459799998,216.734899825,126.08774249700001,161.161528562
44345,dance and electronica,-9.631,127.06700000000001,4,4,0,257.14893,42.6671241636,66.5573881041,-55.427932342,15.4936104089,-8.54021784387,-29.9971992565,17.8547330855,18.1717115242,-2.1710074349400004,17.1584669145,4.780024535319999,-7.377881784389999,26.9847688701,4421.12571794,2167.62060845,1470.39825416,814.86940322,1270.30735115,480.427437821,524.49524982,329.776602068,318.354261919,338.74286626,233.18713695900001
46135,dance and electronica,-7.944,125.895,4,7,1,433.18812,41.7408833271,-28.2639890854,-29.7509458035,45.851718103100005,-1.6367753105,-26.4412928114,6.79323560406,-13.2320398946,-6.87674520135,8.34239781709,11.0198976289,10.3524915318,24.9555107429,1990.49029248,2474.93838857,2807.89191163,852.076073345,1743.57906022,709.783223471,897.4201719189999,335.201809968,432.610216684,591.2279282669999,299.069453749
24327,punk,-6.68,167.18900000000002,4,11,0,161.01832,49.159727868900006,43.700524590200004,17.4663672131,-8.99759672131,-42.3405278689,-19.6919459016,-16.7586180328,-1.43741311475,20.6576770492,13.733647541,0.199729508197,1.3607475409799998,16.6031342177,1455.73113835,449.119767386,458.68071814900003,692.184310712,363.22069341199995,297.309193344,187.246236197,246.07312021200002,173.223798307,127.400905528,111.28884169700001
