idx,genre,track_id,artist_name,title,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
41904,dance and electronica,TRIQEKP12903CBDB04,Funkstoerung,Inmarsat,-8.706,87.23200000000001,1,0,1,324.80608,40.0218685377,-13.5569926145,-60.6035524372,23.5593921713,16.9342592319,-6.6828028065,-20.6967644018,-23.679394387,-5.26982717873,2.40121344165,2.27336410635,-0.240900295421,65.5952640226,11496.2173151,8818.18136069,4569.10036024,2604.7307455,1961.27374536,1063.26121876,1798.93450959,1036.39550005,727.59577967,906.411910972,509.69193353599996
41905,dance and electronica,TRNPHPZ128F14AC615,Funkstörung,Music For Our Children,-12.212,120.70700000000001,7,0,1,35.81342,42.7589370079,11.827015747999999,67.1134173228,2.50311023622,40.3819606299,-21.822118110199998,6.56607874016,1.13801574803,-6.033141732280001,-3.0558976378,-3.9439842519699995,0.23765354330699998,35.8975594921,2846.7903922,762.2588601169999,781.286228429,550.4325984469999,224.202087427,373.767538151,410.529283921,245.376251035,173.173203037,157.73670752700002,149.96547314
41906,dance and electronica,TRMYCLP128F1491D42,Funkstörung,The Nipple Twist,-7.6579999999999995,66.676,5,7,1,272.14322000000004,43.398956204399994,38.0175233577,-42.4157664234,40.569310219,-11.425683211700001,13.1679518248,3.08540948905,2.5737270073,3.01484671533,4.25224525547,-7.012170802919999,1.3281540146,43.8323338886,3849.91266786,3393.17270554,3689.79828113,978.865600419,2772.44327873,920.80416062,1200.9998859000002,357.00445891199996,686.452280924,1076.11467247,236.88488513299998
41907,dance and electronica,TRHNTQF128F1491D32,Funkstörung,Wearing Old Armani,-8.587,120.021,4,7,1,347.16688999999997,41.4718179837,17.9008463215,-92.761546594,68.7417433243,-13.2304926431,-5.14107302452,2.83047029973,14.7046822888,2.9881989100800004,23.853300817399997,-5.713106267030001,2.58523487738,31.1480792432,5765.07288087,2856.02618432,5277.38581874,508.75204832800006,2769.10841059,464.434566355,959.882455825,194.013744305,604.512719729,1530.84434297,186.94050738099997
41908,dance and electronica,TRBGGDN128F1491D44,Funkstörung,CB/DC,-8.566,125.06299999999999,4,7,1,277.9424,40.7659173851,27.166987787399997,-58.919902298900006,61.6562112069,-6.8507794540199995,4.56748922414,1.79366954023,2.79176795977,9.925805316089999,17.4443297414,-4.84348635057,4.06505244253,51.734003486700004,5443.5640014,2335.08246142,5757.38875371,912.295678511,3027.22194623,940.137412072,940.984512605,463.229938563,597.228099238,1296.69024876,250.452543235
41909,dance and electronica,TRFIETG128F1491D41,Funkstörung,B2401,-20.624000000000002,100.71600000000001,3,11,1,61.33506,31.184125,-108.64679347799999,-25.7696141304,-28.3523043478,-29.6499130435,-31.639423913,12.734581521700001,5.52489130435,14.405266304300001,7.45747826087,-5.13158695652,-7.252548913039999,63.2955020115,5821.41886503,2954.21168322,1011.40852606,987.1330094269999,197.370376462,306.48313108,231.618197977,314.842247435,47.890863727799996,86.7684835033,253.72346515
41910,dance and electronica,TRQXRWD128F1491D3D,Funkstörung,More&More&More,-9.315,131.003,4,7,1,291.00363,40.7598332344,31.2320498516,-63.633151928800004,41.360561424299995,-15.3505121662,1.10952344214,4.62472581602,-6.852614836799999,12.4512261128,16.6294997033,-5.244438575669999,6.249913353119999,27.3341357223,3770.88048055,2867.75370159,3800.12650926,1000.72511825,2538.68864572,786.3634812000001,1111.52784834,343.25269481,804.840079525,1167.76090508,178.125340622
41911,dance and electronica,TRZGJRC128F1491D36,Funkstörung,AP1108,-16.086,98.087,4,10,0,69.0673,35.3212456897,-92.1500043103,0.20802155172400003,0.49800862068999996,-14.1950991379,-12.4468836207,-3.61656896552,8.14539224138,55.831133620699994,18.3344181034,-0.0312629310345,14.535831896600001,40.7155673922,8611.29543603,1438.52240535,1362.2042249,1118.38532688,980.8784893530001,765.749933047,506.78417684199997,1440.01994151,407.06865476900003,264.62512826299997,1194.12360839
41912,dance and electronica,TRIDOGM128F1491D37,Funkstörung,Shuffled&Buffered,-7.079,86.677,5,10,0,247.19627999999997,43.0161124031,-25.0065217054,-47.5500193798,53.140275968999994,-13.677927907,-4.42991317829,9.422894573639999,1.57096511628,7.56445891473,13.8474581395,0.566204651163,5.26767286822,36.295510075,7040.06236652,3186.51417837,3784.29882641,995.45525425,2879.29539728,922.608767873,1312.94563799,499.116833016,690.4400050219999,1031.68094387,312.677412603
41913,dance and electronica,TRAWPNL128F1491D47,Funkstörung,You Go' Funk,-7.939,99.995,4,6,0,256.522,42.4897732426,25.604283446700002,-72.4858133031,55.242304610699996,-22.6496326531,-4.48450793651,4.09718216175,-0.039940287226,2.22878911565,7.5836606198,-5.060711262280001,2.4665638699900003,33.6219007573,3496.48530107,2557.01940982,4333.32933453,885.981595071,2735.88802309,445.139861101,980.711861919,284.625545249,453.31210120800006,1105.43622505,116.881327345
41914,dance and electronica,TRSTPFH128F1491D3A,Funkstörung,Commodore C128D,-7.5360000000000005,127.994,4,7,1,271.85587000000004,43.2466980166,20.4923506078,-59.3558106206,44.1317863084,5.376486884199999,4.35876711452,1.17522904671,-3.72288995521,4.17990275112,13.292049264200001,-5.10443761996,8.232786948180001,40.7778657796,4993.43217112,1777.74540935,3577.48619423,646.73085068,2183.75125557,333.222833198,1223.50490334,209.041878777,560.046864307,1292.86773609,102.997723204
41915,dance and electronica,TRVCHMO128F1491D4A,Funkstörung,AP1105,-8.532,162.687,4,6,1,132.51873,44.107838827799995,45.010946886400006,-0.406423076923,1.9457747252700002,-1.3082985348,-21.3046611722,21.074076923099998,8.76708791209,-1.04084432234,11.6323992674,-6.0002087912099995,1.9110421245400002,50.955602333,5521.39095652,1944.25079171,1334.80269959,1138.69471282,739.832231491,765.4160165,451.31705767,438.005091326,356.3600285,431.913698235,159.459525311
41916,dance and electronica,TRKHWPE128F1491D3F,Funkstörung,Punk Motherfucker,-8.095,124.066,5,10,0,310.83057,43.9295551247,29.910465928,-57.871136288100004,27.7880714681,-13.1208559557,-5.11663933518,7.160650415510001,-12.4197750693,2.9109867036000003,11.469131855999999,-3.9909058171699994,-4.60407645429,28.2625625893,5814.45672383,2779.2660321,2799.03489215,1046.6554174,2103.60453448,634.4519968769999,1188.51266594,516.732457682,822.418482733,1084.82703479,250.752376608
41917,dance and electronica,TRYQNQG128F1491D3C,Funkstörung,AP1106,-17.154,129.564,4,8,1,69.51138,34.0283658537,-114.231766551,-11.908804878,6.899442508710001,-42.2944599303,-18.9339651568,2.1770313588900003,-2.90026829268,7.231421602789999,4.75276655052,3.19518466899,1.75457142857,61.31128889399999,3475.80727108,2410.50927023,1789.55928128,1198.15877092,700.5596001519999,982.6166014519999,633.06674251,831.6028058119999,267.660767754,158.738846771,366.585232119
41918,dance and electronica,TRIBJMS12903CA6FFD,Wehbba,Sweet Spot,-6.462000000000001,125.99600000000001,4,7,1,506.87955,43.798671337100004,13.9309791833,-85.6530280224,49.961183346700004,-8.074361489189998,-2.89440752602,5.07022297838,-5.68386909528,8.7629763811,-3.5752433947199993,-5.506438751,14.922260208199999,28.603611122199997,9643.89533482,4932.0563846000005,5577.46064489,1400.40915151,3131.59923596,814.6919518130001,1381.09835016,368.739723881,770.532859952,1171.95128488,149.47527151100002
41919,dance and electronica,TRZBLJY12903CB215B,Layo & Bushwacka!,The Raw Road,-4.569,123.012,4,0,1,500.11383,44.7590483871,55.405893039,-68.8634023769,33.2070543294,-8.51471137521,2.7458607809799997,25.873862054299998,4.71583658744,0.512432512733,7.98781324278,1.3887797113799998,1.7217826825099998,25.2677186921,4303.69991364,3123.68506521,2997.15288484,911.825906966,2221.44816145,680.59407383,1026.72783253,387.753435356,480.497665454,479.89663845300004,195.441942195
41920,dance and electronica,TRRPPPD12903CA028C,Plemo,DJ DJ (Kid Schurke - Remix),-8.295,119.89,4,6,1,220.76036000000002,45.434417107600005,-9.386259259260001,11.2285652557,19.560861552000002,5.35962610229,-14.3878924162,5.56088007055,-12.8976481481,8.4345978836,5.02702821869,6.42717813051,5.84484215168,19.8285278657,2120.5804109,2266.34665298,813.397825252,900.773839222,828.314831685,472.00868632199996,357.90109072,262.020329004,306.151547789,371.91664676199997,301.120791477
41921,dance and electronica,TRKWHHC128F932805D,Layo & Bushwacka!,The Sierra Madre,-10.123,125.98,4,0,1,410.33097999999995,38.108316628699995,9.039451936219999,-98.59131662870001,48.5179863326,6.5680856491999995,-14.640091571800001,20.1013571754,6.34194441913,9.01285694761,9.406540774489999,2.50999954442,3.24760364465,36.3961315202,4563.36662215,6132.93971938,4129.20704359,2274.2659789,2112.71119392,1195.91031792,1213.93269807,601.68412758,537.482254069,687.697247425,296.131591284
41922,dance and electronica,TRNASKK128F1466ECE,A.Z.,Uncut Raw (Explicit),-13.354000000000001,187.78599999999997,4,7,1,179.93098,37.4015714286,-7.53531498829,-43.840755269300004,-1.9150245901599998,-3.3254625292699997,0.588344262295,3.0253571428600003,13.775101873499999,5.1339028102999995,10.1851510539,-4.21582903981,3.4494800936800005,65.74844939239999,3037.56213443,1514.28922946,2196.76480864,1010.55916913,1438.59812393,616.220730963,963.636587129,505.49809083,496.555558833,463.748679308,267.979698025
